"Time [min]","Event Name","Chamber","Event Text","1A: O2 concentration [µM]","1A: O2 flux per mass [pmol/(s*mg)]","1B: O2 concentration [µM]","1B: O2 flux per mass [pmol/(s*mg)]","1A: Amp [µM]","1A: Amp flux per mass [pmol/(s*mg)]","1B: Amp [nM]","1B: Amp flux per mass [fmol/(s*mg)]"
86.77,"","","",184.7477,27.1290,183.9765,15.5618,114.6776,-4086.4401,1695.9215,-76.1800
86.80,"","","",184.6980,27.1290,183.9701,15.5618,113.6159,-4132.3552,1697.8953,-76.1800
86.83,"","","",184.6383,27.1290,183.9574,15.4030,114.1180,-4149.5733,1697.8953,-69.2546
86.87,"","","",184.5723,27.4907,183.9360,15.0854,107.7186,-4169.6612,1696.4063,-69.2546
86.90,"","","",184.5271,27.6716,183.9455,14.9266,114.6059,-4138.0946,1696.4755,-69.2546
86.93,"","","",184.5036,28.0333,183.9113,14.9266,111.0331,-4115.1370,1697.8260,-69.2546
86.97,"","","",184.4991,28.2142,183.8891,14.9266,108.8809,-4086.4401,1696.4063,-69.2546
87.00,"","","",184.4710,28.3950,183.8899,14.9266,107.1877,-4031.9160,1696.7872,-69.2546
87.03,"","","",184.4014,28.7568,183.8899,14.7678,105.2651,-3968.7828,1697.7568,-62.3291
87.07,"","","",184.3688,29.1185,183.8986,14.6090,114.1180,-3865.4739,1697.4451,-55.4037
87.10,"","","",184.3236,29.4802,183.8486,14.7678,108.4648,-3770.7741,1698.1030,-48.4782
87.13,"","","",184.2576,29.8419,183.7930,14.7678,107.2882,-3667.4652,1699.1072,-41.5528
87.17,"","","",184.2133,30.2036,183.7788,14.7678,108.0200,-3541.1988,1699.0033,-34.6273
87.20,"","","",184.1762,30.5654,183.7518,14.7678,105.6238,-3383.3658,1698.7956,-27.7018
87.23,"","","",184.1735,30.9271,183.7589,14.7678,104.2033,-3234.1419,1698.5878,-20.7764
87.27,"","","",184.1988,30.9271,183.7851,14.6090,108.2352,-3056.2210,1698.0338,-13.8509
87.30,"","","",184.1771,31.1079,183.7875,14.2914,100.6448,-2892.6486,1697.7221,-6.9255
87.33,"","","",184.1346,31.4697,183.7549,14.1326,104.8059,-2697.5096,1698.9687,0.0000
87.37,"","","",184.0596,32.0122,183.7422,13.9738,97.6604,-2488.0222,1697.5836,6.9255
87.40,"","","",184.0234,32.5548,183.6875,13.9738,99.2530,-2287.1438,1699.5920,13.8509
87.43,"","","",183.9972,32.9165,183.6557,13.9738,97.1151,-2069.0473,1699.8344,20.7764
87.47,"","","",183.9682,33.4591,183.6732,14.1326,102.0510,-1816.5145,1699.5920,34.6273
87.50,"","","",183.8950,34.0017,183.6922,13.9738,99.9561,-1561.1120,1698.0338,27.7018
87.53,"","","",183.8109,35.0869,183.6390,14.1326,98.8943,-1294.2307,1700.0075,34.6273
87.57,"","","",183.7512,35.8103,183.6025,14.1326,94.1593,-998.6525,1698.6571,34.6273
87.60,"","","",183.7205,36.5338,183.6017,14.1326,93.4706,-924.0405,1700.2499,41.5528
87.63,"","","",183.6870,37.0763,183.6041,13.9738,93.4706,-906.8224,1699.6613,48.4782
87.67,"","","",183.6291,37.6189,183.5715,13.9738,94.4320,-880.9952,1699.0726,55.4037
87.70,"","","",183.6029,37.9806,183.5628,13.8150,88.4487,-869.5164,1699.5227,62.3291
87.73,"","","",183.5884,37.9806,183.5739,13.6562,92.9971,-863.7770,1700.2499,69.2546
87.77,"","","",183.5360,38.3424,183.6057,13.1799,91.3757,-846.5589,1696.7526,62.3291
87.80,"","","",183.5016,38.5232,183.4477,13.3386,95.5081,-794.9044,1696.6141,55.4037
